"nazwa dealera,""miasto"",""link """"od ręki"""""",""link """"używane"""""""
"Aries Motor,""Warszawa"",""https://www.honda-ariesmotor.pl/pl/samochody/samochody-od-reki.html"",""https://www.honda-ariesmotor.pl/pl/samochody/samochody-uzywane.html"""
"Auto Mojsiuk,""Stare Bielice"",""https://honda.mojsiuk.pl/pl/samochody/samochody-od-reki.html"",""https://honda.mojsiuk.pl/pl/samochody/samochody-uzywane.html"""
"CMC Motors Sp. z o.o.,""Kielce"",""https://www.honda.kielce.pl/pl/samochody/samochody-od-reki.html"",""https://www.honda.kielce.pl/pl/samochody/samochody-uzywane.html"""
"CRH Żagiel Auto Honda,""Lublin"",""https://www.honda.lublin.pl/pl/samochody/samochody-od-reki.html"",""https://www.honda.lublin.pl/pl/samochody/samochody-uzywane.html"""
"D&D,""Wrocław"",""https://www.hondawroclaw.pl/pl/samochody/samochody-od-reki.html"",""https://www.hondawroclaw.pl/pl/samochody/samochody-uzywane.html"""
"Daszuta,""Olsztyn"",""https://www.honda.daszuta.pl/pl/samochody/samochody-od-reki.html"",""https://www.honda.daszuta.pl/pl/samochody/samochody-uzywane.html"""
"Głuchy,""Szczecin"",""https://szczecin.hondagluchy.pl/pl/samochody/samochody-od-reki.html"",""https://szczecin.hondagluchy.pl/pl/samochody/samochody-uzywane.html"""
"Głuchy,""Gorzów Wielkopolski"",""https://gorzow.hondagluchy.pl/pl/samochody/samochody-od-reki.html"",""https://gorzow.hondagluchy.pl/pl/samochody/samochody-uzywane.html"""
"Głuchy Zielona Góra,""Zielona Góra"",""https://zielonagora.hondagluchy.pl/pl/samochody/samochody-od-reki.html"",""https://zielonagora.hondagluchy.pl/pl/samochody/samochody-uzywane.html"""
"Honda Gdańsk,""Gdańsk"",""https://gdansk.hondapomorze.pl/pl/samochody/samochody-od-reki.html"",""https://gdansk.hondapomorze.pl/pl/samochody/samochody-uzywane.html"""
"Honda Gdynia,""Gdynia"",""https://gdynia.hondapomorze.pl/pl/samochody/samochody-od-reki.html"",""https://gdynia.hondapomorze.pl/pl/samochody/samochody-uzywane.html"""
"Honda Plaza,""Warszawa"",""https://www.hondaplaza.pl/pl/samochody/samochody-od-reki.html"",""https://www.hondaplaza.pl/pl/samochody/samochody-uzywane.html"""
"Honda Rawski Group,""Marki"",""https://rawski.pl/pl/samochody/samochody-od-reki.html"",""https://rawski.pl/pl/samochody/samochody-uzywane.html"""
"JKK Moto,""Katowice"",""https://www.honda.katowice.pl/pl/samochody/samochody-od-reki.html"",""https://www.honda.katowice.pl/pl/samochody/samochody-uzywane.html"""
"JKK Moto Gliwice,""Gliwice"",""https://www.honda.gliwice.pl/pl/samochody/samochody-od-reki.html"",""https://www.honda.gliwice.pl/pl/samochody/samochody-uzywane.html"""
"Karlik Malta,""Poznań"",""https://honda.karlik.poznan.pl/pl/samochody/samochody-od-reki.html"",""https://honda.karlik.poznan.pl/pl/samochody/samochody-uzywane.html"""
"Kemag,""Bielsko-Biała"",""https://honda.kemag.pl/pl/samochody/samochody-od-reki.html"",""https://honda.kemag.pl/pl/samochody/samochody-uzywane.html"""
"Kolaczek Kraków,""Kraków"",""https://hondakolaczek.pl/pl/samochody/samochody-od-reki.html"",""https://hondakolaczek.pl/pl/samochody/samochody-uzywane.html"""
"Kolaczek Sp. z o. o.,""Wieliczka"",""https://hondakolaczek.pl/pl/samochody/samochody-od-reki.html"",""https://hondakolaczek.pl/pl/samochody/samochody-uzywane.html"""
"Krężel & Krężel,""Kraków"",""https://krezel.pl/pl/samochody/samochody-od-reki.html"",""https://krakow-krezelikrezel.uzywane.honda.pl/pl/samochody-uzywane"""
"Multi Auto,""Białystok"",""https://multiauto.com.pl/pl/samochody/samochody-od-reki.html"",""https://multiauto.com.pl/pl/samochody/samochody-uzywane.html"""
"Odyssey,""Częstochowa"",""https://odyssey-dealer-group.pl/samochody-nowe/"",""https://odyssey-dealer-group.pl/samochody-uzywane/"""
"Park,""Łódź"",""https://www.hondapark.pl/pl/samochody/samochody-od-reki.html"",""https://www.hondapark.pl/pl/samochody/samochody-uzywane.html"""
"Reco,""Opatówek"",""https://honda-reco.pl/pl/samochody/samochody-od-reki.html"",""https://honda-reco.pl/pl/samochody/samochody-uzywane.html"""
"Sigma Car,""Rzeszów"",""https://sigmacar.pl/pl/samochody/samochody-od-reki.html"",""https://sigmacar.pl/pl/samochody/samochody-uzywane.html"""
"Wyszomirski Puławska,""Warszawa"",""https://honda.wyszomirski.pl/pl/samochody/samochody-od-reki.html"",""https://honda.wyszomirski.pl/pl/samochody/samochody-uzywane.html"""
"Wyszomirski Siedlce,""Siedlce"",""https://siedlce.honda.wyszomirski.pl/pl/samochody/samochody-od-reki.html"",""https://siedlce.honda.wyszomirski.pl/pl/samochody/samochody-uzywane.html"""
