title,price_pln,year,mileage_km,location,url,date_scraped_utc,first_seen_utc
Honda CR-V,157000,2025,46200,Krosno (Podkarpackie),https://www.otomoto.pl/osobowe/oferta/honda-cr-v-ID6I6bg6.html,2026-06-07T10:11:48+00:00,2026-06-07T10:11:48+00:00
Honda CR-V,119900,2023,10200,Białystok (Podlaskie),https://www.otomoto.pl/osobowe/oferta/honda-cr-v-ID6HayTU.html,2026-06-07T10:11:48+00:00,2026-06-07T10:11:48+00:00
Honda CR-V 2.0 i-MMD HEV Elegance 2WD CVT,190000,2026,10,Warszawa (Mazowieckie),https://www.otomoto.pl/osobowe/oferta/honda-cr-v-ID6I2SXD.html,2026-06-07T10:11:48+00:00,2026-06-07T10:11:48+00:00
Honda CR-V 2.0 i-MMD Executive (Honda Connect+),69900,2023,213000,Duchowne (Wielkopolskie),https://www.otomoto.pl/osobowe/oferta/honda-cr-v-ID6I1KSB.html,2026-06-06T09:32:37+00:00,2026-06-06T09:32:37+00:00
Honda CR-V,89000,2025,28843,Warszawa (Mazowieckie),https://www.otomoto.pl/osobowe/oferta/honda-cr-v-ID6I6fl9.html,2026-06-07T10:11:48+00:00,2026-06-06T09:32:36+00:00
Honda CR-V 2.0 i-MMD PHEV Advance Tech 2WD CVT,195900,,,,https://www.otomoto.pl/osobowe/oferta/honda-cr-v-ID6I6g6g.html,2026-06-07T10:11:48+00:00,2026-06-06T09:32:36+00:00
Honda CR-V 2.0 i-MMD HEV Elegance AWD CVT,204900,2026,8,Kraków (Małopolskie),https://www.otomoto.pl/osobowe/oferta/honda-cr-v-ID6I1TLD.html,2026-06-05T10:55:35+00:00,2026-06-05T10:55:35+00:00
Honda CR-V ver-2-0-i--mmd-sport-line-cvt,154500,2024,31000,Rzeszów (Podkarpackie),https://www.otomoto.pl/osobowe/oferta/honda-cr-v-ID6I6cu0.html,2026-06-07T10:11:48+00:00,2026-06-05T10:55:34+00:00
Honda CR-V,59000,2024,20000,Lutomiersk (Łódzkie),https://www.otomoto.pl/osobowe/oferta/honda-cr-v-ID6I6aIm.html,2026-06-07T10:11:48+00:00,2026-06-04T10:44:50+00:00
Honda CR-V 2.0 i-MMD Elegance (2WD / Connect+),84999,2023,32135,Warszawa (Mazowieckie),https://www.otomoto.pl/osobowe/oferta/honda-cr-v-ID6I62tt.html,2026-06-07T10:11:48+00:00,2026-06-04T10:44:50+00:00
Honda CR-V 2.0 i-MMD HEV Advance AWD CVT,64000,2024,52867,Wrocław (Dolnośląskie),https://www.otomoto.pl/osobowe/oferta/honda-cr-v-ID6I63IU.html,2026-06-07T10:11:48+00:00,2026-06-04T10:44:50+00:00
Honda CR-V 2.0 i-MMD PHEV Advance Tech 2WD CVT,229500,,,,https://www.otomoto.pl/osobowe/oferta/honda-cr-v-ID6GNkum.html,2026-06-07T10:11:48+00:00,2026-06-04T10:44:50+00:00
Honda CR-V 2.0 i-MMD PHEV Advance Tech 2WD CVT,229500,,,,https://www.otomoto.pl/osobowe/oferta/honda-cr-v-ID6HHj5X.html,2026-06-07T10:11:48+00:00,2026-06-04T10:44:50+00:00
Honda CR-V 2.0 i-MMD HEV Elegance AWD CVT,204900,,,,https://www.otomoto.pl/osobowe/oferta/honda-cr-v-ID6I3LMA.html,2026-06-02T11:26:53+00:00,2026-06-02T11:26:53+00:00
Honda CR-V,159000,2025,34000,Wągrowiec (Wielkopolskie),https://www.otomoto.pl/osobowe/oferta/honda-cr-v-ID6I3a0u.html,2026-06-07T10:11:48+00:00,2026-06-02T11:26:53+00:00
Honda CR-V,89000,2024,8135,Warszawa (Mazowieckie),https://www.otomoto.pl/osobowe/oferta/honda-cr-v-ID6HU6oX.html,2026-06-07T10:11:48+00:00,2026-06-02T11:26:53+00:00
Honda CR-V,139980,2024,26500,Wrocław (Dolnośląskie),https://www.otomoto.pl/osobowe/oferta/honda-cr-v-ID6I3ot4.html,2026-06-07T10:11:48+00:00,2026-06-02T11:26:53+00:00
Honda CR-V 1.5T 4WD CVT Elegance,131900,2025,2100,Bochnia (Małopolskie),https://www.otomoto.pl/osobowe/oferta/honda-cr-v-ID6HTt7A.html,2026-06-02T11:26:53+00:00,2026-06-02T11:26:53+00:00
Honda CR-V 2.0 i-MMD Lifestyle (Honda Connect+),154900,2025,35109,Warszawa (Mazowieckie),https://www.otomoto.pl/osobowe/oferta/honda-cr-v-ID6I5xCL.html,2026-06-07T10:11:48+00:00,2026-06-02T11:26:53+00:00
Honda CR-V 2.0 i-MMD HEV Elegance AWD CVT,158000,2023,9000,Radom (Mazowieckie),https://www.otomoto.pl/osobowe/oferta/honda-cr-v-ID6HyuIL.html,2026-06-02T11:26:53+00:00,2026-06-02T11:26:53+00:00
Honda CR-V 2.0 i-MMD Executive (Honda Connect+),159900,2024,8800,Warszawa (Mazowieckie),https://www.otomoto.pl/osobowe/oferta/honda-cr-v-ID6HWG5P.html,2026-06-07T10:11:48+00:00,2026-06-02T11:26:53+00:00
Honda CR-V 2.0 i-MMD HEV Advance AWD CVT,64000,2024,64015,Warszawa (Mazowieckie),https://www.otomoto.pl/osobowe/oferta/honda-cr-v-ID6I5X6p.html,2026-06-07T10:11:48+00:00,2026-06-02T11:26:52+00:00
Honda CR-V,79800,2023,30000,Kraków (Małopolskie),https://www.otomoto.pl/osobowe/oferta/honda-cr-v-ID6I5XAc.html,2026-06-07T10:11:48+00:00,2026-06-02T11:26:52+00:00
